date,ageBetween20to34,ageBetween35to59,ageBetween5to19,ageGreaterThan60,ageUnder5,educationBachelorOrGreater,educationHighSchoolGraduate,geographyId,geographyName,households,incomeBelowPoverty,incomeBetween100to200,incomeBetween25to50,incomeBetween50to100,incomeGreater200,incomeLessThan25,landArea,medianIncome,myAreaIndicator,population,raceAsian,raceBlack,raceHispanic,raceNativeAmerican,raceWhite
2014-06-01,0.204,0.2831,0.2481,0.1959,0.0688,0.1836,0.807,40071,Kay,22001,0.175,0.0861,0.2811,0.288,0.0136,0.3312,871.17871316,41838.8396,False,44290,0.0005,0.0092,0.0497,0.079,0.8616
2014-06-01,0.2054,0.2737,0.2734,0.1776,0.0699,0.1576,0.8005,40073,Kingfisher,6788,0.119,0.1459,0.2744,0.3408,0.0215,0.2174,824.71171176,52322.739,False,14107,0.0007,0.0088,0.1297,0.0122,0.8486
2014-06-01,0.2134,0.257,0.2673,0.2284,0.0339,0.1504,0.7706,40075,Kiowa,5097,0.237,0.0757,0.2599,0.247,0.0084,0.409,960.53115496,35496.4485,False,7032,0.0001,0.0268,0.047,0.0383,0.8878
2014-06-01,0.2053,0.2848,0.2274,0.2437,0.0386,0.1178,0.7321,40077,Latimer,5141,0.178,0.0788,0.2976,0.3048,0.0162,0.3025,709.89396837,45031.5246,False,10621,0.0014,0.0043,0.0132,0.1975,0.7836
2014-06-01,0.1974,0.2976,0.2319,0.2159,0.0571,0.1187,0.7058,40079,Le Flore,22188,0.223,0.0712,0.3032,0.2708,0.0065,0.3483,1551.77982949,37252.1114,False,49155,0.0002,0.0162,0.065,0.0857,0.8329
2014-06-01,0.2105,0.3015,0.2298,0.2072,0.0509,0.1128,0.778,40081,Lincoln,15362,0.142,0.0993,0.2982,0.3031,0.0159,0.2835,899.52566301,42469.7582,False,33088,0.0001,0.0038,0.0077,0.0296,0.9588
2014-06-01,0.2011,0.3079,0.2173,0.2257,0.0479,0.2177,0.825,40083,Logan,18940,0.143,0.1571,0.2388,0.2982,0.0287,0.2772,697.05673297,53037.3086,False,45757,0.0007,0.0759,0.0389,0.0149,0.8696
2014-06-01,0.1829,0.2696,0.2283,0.2553,0.0638,0.1077,0.7333,40085,Love,4784,0.156,0.1055,0.3123,0.3054,0.0152,0.2615,520.86511404,44912.4408,False,9242,0.0,0.008,0.1171,0.0272,0.8477
2014-06-01,0.1975,0.309,0.231,0.2041,0.0584,0.1633,0.8029,40087,McClain,15915,0.113,0.1624,0.2536,0.347,0.0144,0.2226,550.31161801,55708.9734,False,39223,0.0005,0.0012,0.0527,0.0351,0.9105
2014-06-01,0.2102,0.2912,0.2513,0.19,0.0573,0.1107,0.6962,40089,McCurtain,15916,0.239,0.0846,0.2461,0.2391,0.0095,0.4207,1815.93669723,34785.7325,False,30538,0.001,0.0782,0.037,0.1261,0.7576
2014-06-01,0.1738,0.2542,0.1933,0.342,0.0367,0.1322,0.72,40091,McIntosh,13581,0.2,0.0538,0.3269,0.2137,0.0015,0.4041,673.91009016,30032.3501,False,18540,0.0004,0.0211,0.0047,0.1606,0.8132
2014-06-01,0.1955,0.2446,0.2753,0.2272,0.0573,0.1382,0.7673,40093,Major,3642,0.124,0.1088,0.2788,0.3233,0.0193,0.2698,889.29704192,47486.0409,False,6037,0.0028,0.0012,0.0822,0.009,0.9048
2014-06-01,0.16,0.2643,0.2276,0.2808,0.0674,0.1173,0.6969,40095,Marshall,10886,0.179,0.0779,0.3085,0.3351,0.0073,0.2711,418.17284279,45253.3832,False,16567,0.0,0.006,0.1448,0.0576,0.7916
